split,domain,gold_keyphrase_occurrences,gold_keyphrase_words,observed_covered_words,observed_word_coverage_percent,observed_complete_keyphrases,observed_complete_keyphrase_coverage_percent,proxy_valid_words,proxy_word_coverage_percent,proxy_complete_keyphrases,proxy_complete_keyphrase_coverage_percent,observed_incomplete_keyphrases,proxy_completed_observed_gap,proxy_completion_rate_percent
validation,PMC,495,824,85,10.315533980582524,13,2.6262626262626263,819,99.39320388349515,490,98.98989898989899,482,477,98.96265560165975
validation,LIS,479,840,105,12.5,14,2.922755741127349,839,99.88095238095238,478,99.79123173277662,465,464,99.78494623655914
validation,IEEE,433,999,75,7.5075075075075075,1,0.23094688221709006,999,100.0,433,100.0,432,432,100.0
validation,Overall,1407,2663,265,9.951182876455126,28,1.9900497512437811,2657,99.77469019902365,1401,99.57356076759062,1379,1373,99.56490210297316
test,PMC,384,637,51,8.006279434850864,15,3.90625,634,99.52904238618524,381,99.21875,369,366,99.1869918699187
test,LIS,479,828,141,17.028985507246375,22,4.592901878914405,824,99.51690821256038,475,99.16492693110648,457,453,99.12472647702407
test,IEEE,469,1124,76,6.761565836298932,2,0.42643923240938164,1124,100.0,469,100.0,467,467,100.0
test,Overall,1332,2589,268,10.351487060641174,39,2.9279279279279278,2582,99.72962533796833,1325,99.47447447447448,1293,1286,99.45862335653518
