split,domain,phrase_type,system,n_gold_occurrences,gold_occurrence_seed_cells,recovered_seed_cells,recovery_rate_percent,recovery_ci_lower_percent,recovery_ci_upper_percent,minimum_n_met,delta_vs_text_pp,delta_ci_lower_pp,delta_ci_upper_pp
validation,LIS,Modifier-noun phrase,ET-ATT,86,258,100,38.75968992248062,28.91499330655957,49.1870905359539,1,4.651162790697675,1.550387596899225,7.723577235772358
validation,LIS,Single-word term,TEXT,184,552,178,32.2463768115942,26.33314393939394,38.71635610766045,1,0.0,0.0,0.0
validation,LIS,Single-word term,CogAlign,184,552,236,42.7536231884058,36.54188948306595,49.26779313876088,1,10.507246376811594,6.5891472868217065,14.501163177135258
validation,LIS,Single-word term,ET-ATT,184,552,177,32.06521739130435,25.87058198590381,38.7683007985803,1,-0.18115942028985507,-3.1937387850561496,2.807017543859649
validation,LIS,Technical-form / other,TEXT,40,120,51,42.5,28.757606490872206,56.25,1,0.0,0.0,0.0
validation,LIS,Technical-form / other,CogAlign,40,120,53,44.166666666666664,30.107526881720432,57.84442724458203,1,1.6666666666666667,-7.4074074074074066,10.25757575757574
validation,LIS,Technical-form / other,ET-ATT,40,120,48,40.0,27.027027027027028,53.125,1,-2.5,-8.333333333333332,2.7027027027027026
validation,PMC,Single-word term,TEXT,238,714,221,30.952380952380953,24.920148691887825,37.24697592148807,1,0.0,0.0,0.0
validation,PMC,Single-word term,CogAlign,238,714,257,35.99439775910364,29.984459537239548,42.25727275722334,1,5.042016806722689,2.4215949820788527,7.768472422791416
validation,PMC,Single-word term,ET-ATT,238,714,236,33.05322128851541,26.872956390756457,39.710144927536234,1,2.100840336134454,0.14618286983835135,4.148812704322297
validation,PMC,Modifier-noun phrase,TEXT,61,183,55,30.05464480874317,20.73989898989899,39.743589743589745,1,0.0,0.0,0.0
validation,PMC,Modifier-noun phrase,CogAlign,61,183,71,38.797814207650276,28.205128205128204,49.47916666666667,1,8.743169398907105,0.6057900432900436,16.94915254237288
validation,PMC,Modifier-noun phrase,ET-ATT,61,183,70,38.25136612021858,26.576413369891632,49.75124378109453,1,8.19672131147541,2.380952380952381,14.207650273224044
validation,PMC,Noun compound,TEXT,136,408,135,33.088235294117645,26.340081487140313,40.189125295508276,1,0.0,0.0,0.0
validation,PMC,Noun compound,CogAlign,136,408,181,44.36274509803921,37.22208737864077,51.7948717948718,1,11.27450980392157,7.246376811594203,15.503875968992247
validation,PMC,Noun compound,ET-ATT,136,408,169,41.42156862745098,34.24657534246575,49.01960784313725,1,8.333333333333334,4.411663425700859,12.598425196850393
validation,PMC,Technical-form / other,TEXT,42,126,10,7.936507936507937,1.7094017094017095,15.079365079365079,1,0.0,0.0,0.0
validation,PMC,Technical-form / other,CogAlign,42,126,18,14.285714285714286,5.376344086021505,24.074074074074073,1,6.349206349206349,1.6260162601626018,12.380952380952381
validation,PMC,Technical-form / other,ET-ATT,42,126,17,13.492063492063492,4.545454545454546,23.932291666666657,1,5.555555555555555,0.7936507936507936,11.594202898550725
