domain,system,f1_percent,text_f1_percent,delta_vs_text_pp,ci_low_pp,ci_high_pp,raw_two_sided_p,family,bootstrap_replicates,independent_unit,holm_p_within_domain_family,holm_significant_0_05
PMC,CogAlign-5D,36.212536827353986,35.69970028701629,0.5128365403376911,-1.8362299387320897,2.9113541876969853,0.6691330866913309,full_model_domain_reference,10000,document; seed mean within each replicate,,False
PMC,CA-NFIX,36.59757727290889,35.69970028701629,0.8978769858925983,-1.6132130656703023,3.4439850186410674,0.49295070492950704,cogalign_domain_sufficiency,10000,document; seed mean within each replicate,1.0,False
PMC,CA-FFD,36.68136815117779,35.69970028701629,0.9816678641614951,-1.578023435300941,3.5868879937344724,0.46115388461153883,cogalign_domain_sufficiency,10000,document; seed mean within each replicate,1.0,False
PMC,CA-GPT,35.61208996081856,35.69970028701629,-0.08761032619774012,-2.3084649721780903,2.2338417290391286,0.944905509449055,cogalign_domain_sufficiency,10000,document; seed mean within each replicate,1.0,False
PMC,CA-TRT,36.93519994846298,35.69970028701629,1.2354996614466818,-1.0287532410662843,3.4758020349286682,0.280971902809719,cogalign_domain_sufficiency,10000,document; seed mean within each replicate,1.0,False
PMC,CA-FIXPROP,36.92647520863777,35.69970028701629,1.2267749216214763,-1.0588245334137065,3.556858005029916,0.2967703229677032,cogalign_domain_sufficiency,10000,document; seed mean within each replicate,1.0,False
PMC,ET-ATT-5D,36.97843175410431,35.69970028701629,1.2787314670880123,-0.6469252438991808,3.258354676846529,0.20637936206379362,full_model_domain_reference,10000,document; seed mean within each replicate,,False
PMC,ET-ATT-NFIX,37.11598331888187,35.69970028701629,1.4162830318655728,-0.6477807863057866,3.566708091051092,0.1845815418458154,etatt_domain_sufficiency,10000,document; seed mean within each replicate,0.3691630836916308,False
PMC,ET-ATT-FFD,33.11834883862906,35.69970028701629,-2.581351448387237,-4.66361488377761,-0.47386680430149664,0.017198280171982803,etatt_domain_sufficiency,10000,document; seed mean within each replicate,0.08599140085991401,False
PMC,ET-ATT-GPT,37.96173520489567,35.69970028701629,2.262034917879374,-0.00891144196734568,4.556098426232161,0.052394760523947606,etatt_domain_sufficiency,10000,document; seed mean within each replicate,0.20957904209579042,False
PMC,ET-ATT-TRT,36.386824026689695,35.69970028701629,0.6871237396734009,-1.3635115069601478,2.7615349782427927,0.5187481251874813,etatt_domain_sufficiency,10000,document; seed mean within each replicate,0.5187481251874813,False
PMC,ET-ATT-FIXPROP,33.92091880463974,35.69970028701629,-1.7787814823765569,-3.7285627366227287,0.19595801536130358,0.0811918808119188,etatt_domain_sufficiency,10000,document; seed mean within each replicate,0.2435756424357564,False
LIS,CogAlign-5D,32.98427089890743,34.13330976826001,-1.149038869352581,-3.0248026483756463,0.8050046695097466,0.24577542245775422,full_model_domain_reference,10000,document; seed mean within each replicate,,False
LIS,CA-NFIX,34.19379676602725,34.13330976826001,0.060486997767239536,-1.7561242667823935,1.8783489842197452,0.946905309469053,cogalign_domain_sufficiency,10000,document; seed mean within each replicate,1.0,False
LIS,CA-FFD,33.920983887436,34.13330976826001,-0.21232588082401027,-2.1579306653159462,1.7439933109076835,0.8351164883511649,cogalign_domain_sufficiency,10000,document; seed mean within each replicate,1.0,False
LIS,CA-GPT,34.4438244716758,34.13330976826001,0.3105147034157929,-1.7209502869321893,2.3835204632507123,0.7573242675732427,cogalign_domain_sufficiency,10000,document; seed mean within each replicate,1.0,False
LIS,CA-TRT,33.7625452476164,34.13330976826001,-0.37076452064361276,-2.2115051159873755,1.5086057625818692,0.696930306969303,cogalign_domain_sufficiency,10000,document; seed mean within each replicate,1.0,False
LIS,CA-FIXPROP,33.59057304133127,34.13330976826001,-0.5427367269287442,-2.1904375788301036,1.165920517678292,0.5285471452854714,cogalign_domain_sufficiency,10000,document; seed mean within each replicate,1.0,False
LIS,ET-ATT-5D,34.39029604150289,34.13330976826001,0.2569862732428818,-1.2451950699839478,1.772464760479157,0.7427257274272573,full_model_domain_reference,10000,document; seed mean within each replicate,,False
LIS,ET-ATT-NFIX,34.91287217467756,34.13330976826001,0.7795624064175499,-0.7811699402774948,2.3618666992432664,0.32756724327567244,etatt_domain_sufficiency,10000,document; seed mean within each replicate,1.0,False
LIS,ET-ATT-FFD,35.40862206307265,34.13330976826001,1.275312294812636,-0.2791322062101415,2.889401564696221,0.1075892410758924,etatt_domain_sufficiency,10000,document; seed mean within each replicate,0.537946205379462,False
LIS,ET-ATT-GPT,34.395523215413945,34.13330976826001,0.26221344715393613,-1.495497886767301,2.0332923278054746,0.7615238476152385,etatt_domain_sufficiency,10000,document; seed mean within each replicate,1.0,False
LIS,ET-ATT-TRT,34.669189627629486,34.13330976826001,0.5358798593694758,-1.186859192960446,2.2574312029125476,0.5375462453754625,etatt_domain_sufficiency,10000,document; seed mean within each replicate,1.0,False
LIS,ET-ATT-FIXPROP,34.78372178335778,34.13330976826001,0.6504120150977621,-0.9316967056266756,2.300584534344948,0.42655734426557346,etatt_domain_sufficiency,10000,document; seed mean within each replicate,1.0,False
IEEE,CogAlign-5D,26.00637643468166,24.23124695603587,1.7751294786457898,0.2181595825958483,3.327024535670643,0.028397160283971604,full_model_domain_reference,10000,document; seed mean within each replicate,,False
IEEE,CA-NFIX,26.330377144330637,24.23124695603587,2.099130188294765,0.3598945510309001,3.8948537655273827,0.020597940205979402,cogalign_domain_sufficiency,10000,document; seed mean within each replicate,0.10298970102989702,False
IEEE,CA-FFD,25.29361218571054,24.23124695603587,1.0623652296746693,-0.6298527968112414,2.8176055295985134,0.23297670232976703,cogalign_domain_sufficiency,10000,document; seed mean within each replicate,0.23297670232976703,False
IEEE,CA-GPT,25.842744286095893,24.23124695603587,1.6114973300600215,-0.15587500431505003,3.4259891308055255,0.07599240075992401,cogalign_domain_sufficiency,10000,document; seed mean within each replicate,0.15198480151984803,False
IEEE,CA-TRT,25.9282429525621,24.23124695603587,1.696995996526232,0.05150736137234185,3.415701135328751,0.043195680431956804,cogalign_domain_sufficiency,10000,document; seed mean within each replicate,0.1295870412958704,False
IEEE,CA-FIXPROP,25.979524674975895,24.23124695603587,1.7482777189400251,0.25461934187000806,3.253138248432169,0.021597840215978402,cogalign_domain_sufficiency,10000,document; seed mean within each replicate,0.10298970102989702,False
IEEE,ET-ATT-5D,26.677123550136056,24.23124695603587,2.445876594100185,0.7444485063514775,4.169470411382418,0.0059994000599940004,full_model_domain_reference,10000,document; seed mean within each replicate,,False
IEEE,ET-ATT-NFIX,26.750093694937753,24.23124695603587,2.5188467389018836,0.6934279645447736,4.3641995047061535,0.0057994200579942,etatt_domain_sufficiency,10000,document; seed mean within each replicate,0.0231976802319768,True
IEEE,ET-ATT-FFD,27.48120116615471,24.23124695603587,3.2499542101188412,1.4987669678672544,5.0736158328035925,0.00039996000399960006,etatt_domain_sufficiency,10000,document; seed mean within each replicate,0.001999800019998,True
IEEE,ET-ATT-GPT,25.178581052928045,24.23124695603587,0.9473340968921745,-0.573382561563034,2.507781677172736,0.21997800219978003,etatt_domain_sufficiency,10000,document; seed mean within each replicate,0.21997800219978003,False
IEEE,ET-ATT-TRT,26.30463029122996,24.23124695603587,2.0733833351940874,0.5875589134920954,3.6026799473408206,0.0071992800719928,etatt_domain_sufficiency,10000,document; seed mean within each replicate,0.0231976802319768,True
IEEE,ET-ATT-FIXPROP,25.846036342524087,24.23124695603587,1.6147893864882161,0.25501709339078266,2.9882049946910323,0.021997800219978002,etatt_domain_sufficiency,10000,document; seed mean within each replicate,0.043995600439956005,True
